id	宽数量	高数量	数量	组别	时间限制	3星时间	2星时间	加时钻石	消除钻石	重置钻石	钻石出现概率	最大钻石出现数量	麻将大小	关卡表	连击时间
57	9	4	36	2	40	26	13	40	5	40	85	15	145		1.4
58	7	5	34	2	38	25	12	40	5	40	85	15	140		1.4
59	6	5	30	2	34	22	11	40	5	40	85	15	140		1.4
60	6	7	42	2	46	30	15	40	5	40	85	15	100		1.4
61	8	4	30	2	34	22	11	40	5	40	84	15	155		1.4
62	8	7	56	2	60	40	20	40	5	40	84	15	100		1.4
63	7	5	30	2	34	22	11	40	5	40	84	15	140		1.4
64	6	6	36	4	22	14	7	45	5	45	84	16	120		1.4
65	6	7	40	4	24	16	8	45	5	45	83	16	100		1.4
66	6	5	30	4	19	12	6	45	5	45	83	16	140		1.4
67	9	5	42	4	25	16	8	45	5	45	83	16	140		1.4
68	7	7	46	4	27	18	9	45	5	45	83	16	100		1.4
69	7	7	48	4	28	18	9	45	5	45	82	16	100		1.4
70	7	7	48	4	28	18	9	45	5	45	82	16	100		1.4
71	7	7	44	4	26	17	8	45	5	45	82	16	100		1.4
72	10	5	44	4	26	17	8	50	5	50	82	17	130		1.4
73	6	4	24	4	16	10	5	50	5	50	81	17	160		1.4
74	9	6	48	4	28	18	9	50	5	50	81	17	120		1.4
75	7	4	24	4	16	10	5	50	5	50	81	17	160		1.4
76	9	4	34	4	21	14	7	50	5	50	81	17	145		1.3
77	7	6	38	4	23	15	7	50	5	50	80	17	120		1.3
78	9	7	58	4	33	22	11	50	5	50	80	17	100		1.3
79	10	5	48	4	28	18	9	50	5	50	80	16	130		1.3
80	6	5	30	2	34	22	11	55	5	55	80	18	140		1.3
81	9	7	58	2	62	41	20	55	5	55	79	18	100		1.3
82	8	7	54	2	58	38	19	55	5	55	79	18	100		1.3
83	10	5	44	2	48	32	16	55	5	55	79	18	130		1.3
84	8	6	48	2	52	34	17	55	5	55	79	17	120		1.3
85	6	7	42	2	46	30	15	55	5	55	78	17	100		1.3
86	10	7	68	2	72	48	24	55	5	55	78	17	100		1.3
87	10	6	58	2	62	41	20	55	5	55	78	17	120		1.3
88	7	7	48	2	52	34	17	60	5	60	78	18	100		1.3
89	10	5	46	2	50	33	16	60	5	60	77	18	130		1.3
90	12	7	84	2	88	58	29	60	10	60	77	18	100		1.3
91	11	7	66	2	70	46	23	60	10	60	77	18	100		1.3
92	9	6	50	2	54	36	18	60	10	60	77	18	120		1.3
93	7	7	48	2	52	34	17	60	10	60	76	18	100		1.3
94	10	7	60	2	64	42	21	60	10	60	76	18	100		1.3
95	12	5	60	2	64	42	21	60	10	60	76	18	110		1.3
96	8	6	46	4	27	18	9	65	10	65	76	19	120		1.3
97	7	5	28	4	18	12	6	65	10	65	75	19	140		1.3
98	10	6	54	4	31	20	10	65	10	65	75	19	120		1.3
99	12	6	66	4	37	24	12	65	10	65	75	19	110		1.3
100	9	5	44	4	25	16	8	130	10	65	75	19	140		1.3
101	8	7	54	4	30	20	10	130	10	65	74	19	100		1.3
102	12	5	56	4	31	20	10	130	10	65	74	19	110		1.3
103	11	5	54	4	30	20	10	130	10	65	74	19	120		1.3
104	10	7	60	4	33	22	11	140	10	70	74	20	100		1.3
105	7	7	48	4	27	18	9	140	10	70	73	20	100		1.3
106	8	5	36	4	21	14	7	140	10	70	73	19	140		1.3
107	11	7	64	4	35	23	11	140	10	70	73	19	100		1.3
108	12	6	66	4	36	24	12	140	10	70	73	19	110		1.3
109	13	6	76	4	41	27	13	140	10	70	72	19	100		1.3
110	13	5	60	4	33	22	11	140	10	70	72	19	100		1.3
111	11	7	74	4	40	26	13	140	10	70	72	19	100		1.3
112	9	6	54	2	57	38	19	150	15	75	72	20	120		1.3
113	13	7	90	2	93	62	31	150	15	75	71	20	100		1.3
114	8	5	38	2	41	27	13	150	15	75	71	20	140		1.3
115	9	7	56	2	59	39	19	150	15	75	71	20	100		1.3
116	13	7	86	2	89	59	29	150	15	75	71	20	100		1.3
117	12	5	60	2	63	42	21	150	15	75	70	20	110		1.3
118	9	7	60	2	63	42	21	150	15	75	70	20	100		1.3
119	9	5	42	2	45	30	15	150	15	75	70	20	140		1.3
120	13	5	62	2	65	43	21	160	15	80	70	21	100		1.3
121	9	7	58	2	61	40	20	160	15	80	69	21	100		1.3
122	12	7	74	2	77	51	25	160	15	80	69	21	100		1.3
123	11	7	76	2	79	52	26	160	15	80	69	20	100		1.3
124	8	7	54	2	57	38	19	160	15	80	69	20	100		1.3
125	12	7	84	2	87	58	29	160	15	80	68	20	100		1.3
126	12	7	78	2	81	54	27	160	15	80	68	20	100		1.2
127	12	7	84	2	87	58	29	160	15	80	68	20	100		1.2
128	13	7	80	4	43	28	14	170	15	85	68	21	100		1.2
129	10	7	58	4	32	21	10	170	15	85	67	21	100		1.2
130	13	7	90	4	48	32	16	170	15	85	67	21	100		1.2
131	13	7	82	4	44	29	14	170	15	85	67	21	100		1.2
132	12	7	84	4	45	30	15	170	15	85	67	21	100		1.2
133	13	7	84	4	45	30	15	170	15	85	66	21	100		1.2
134	10	7	64	4	35	23	11	170	15	85	66	21	100		1.2
135	10	7	64	4	35	23	11	170	20	85	66	21	100		1.2
136	13	7	80	4	43	28	14	180	20	90	66	22	100		1.2
137	10	6	60	4	33	22	11	180	20	90	65	21	120		1.2
138	9	7	62	4	34	22	11	180	20	90	65	21	100		1.2
139	11	7	74	4	40	26	13	180	20	90	65	21	100		1.2
140	10	6	60	4	33	22	11	180	20	90	65	21	120		1.2
141	13	7	80	4	43	28	14	180	20	90	64	21	100		1.2
142	11	7	64	4	35	23	11	180	20	90	64	21	100		1.2
143	13	7	80	4	43	28	14	180	20	90	64	21	100		1.2
144	11	7	72	2	75	50	25	190	20	95	64	22	100		1.2
145	9	7	54	2	57	38	19	190	20	95	63	22	100		1.2
146	12	7	80	2	83	55	27	190	20	95	63	22	100		1.2
147	9	6	54	2	57	38	19	190	20	95	63	22	120		1.2
148	13	7	90	2	93	62	31	190	20	95	63	22	100		1.2
149	13	7	86	2	89	59	29	190	20	95	62	22	100		1.2
150	12	7	84	2	86	57	28	190	25	95	62	22	100		1.2
151	11	6	64	2	66	44	22	190	25	95	62	21	120		1.2
152	12	7	74	2	76	50	25	200	25	100	62	22	100		1.2
153	11	7	74	2	76	50	25	200	25	100	61	22	100		1.2
154	13	7	90	2	92	61	30	200	25	100	61	22	100		1.2
155	13	7	78	2	80	53	26	200	25	100	61	22	100		1.2
156	13	6	76	2	78	52	26	200	25	100	61	22	100		1.2
157	10	6	58	2	60	40	20	200	25	100	60	22	120		1.2
158	13	7	84	2	86	57	28	200	25	100	60	22	100		1.2
159	11	7	64	2	66	44	22	200	25	100	60	22	100		1.2
160	13	7	84	4	44	29	14	200	25	105	60	23	100		1.2
161	11	7	68	4	36	24	12	200	25	105	59	23	100		1.2
162	13	7	88	4	46	30	15	200	25	105	59	23	100		1.2
163	12	7	76	4	40	26	13	200	25	105	59	22	100		1.2
164	11	7	64	4	34	22	11	200	25	105	59	22	100		1.2
165	13	7	88	4	46	30	15	200	30	105	58	22	100		1.2
166	10	7	58	4	31	20	10	200	30	105	58	22	100		1.2
167	13	7	78	4	41	27	13	200	30	105	58	22	100		1.2
168	13	7	80	4	42	28	14	200	30	110	58	23	100		1.2
169	13	7	84	4	44	29	14	200	30	110	57	23	100		1.2
170	13	7	86	4	45	30	15	200	30	110	57	23	100		1.2
171	11	7	74	4	39	26	13	200	30	110	57	23	100		1.2
172	12	7	78	4	41	27	13	200	30	110	57	23	100		1.2
173	13	7	88	4	46	30	15	200	30	110	56	23	100		1.2
174	12	7	82	4	43	28	14	200	30	110	56	23	100		1.2
175	13	7	80	4	42	28	14	200	30	110	56	23	100		1.2
176	12	7	80	2	82	54	27	200	30	115	56	23	100		1.1
177	12	7	84	2	86	57	28	200	30	115	55	23	100		1.1
178	13	7	84	2	86	57	28	200	30	115	55	23	100		1.1
179	13	7	84	2	86	57	28	200	30	115	55	23	100		1.1
180	13	7	90	2	92	61	30	200	35	115	55	23	100		1.1
181	13	7	90	2	92	61	30	200	35	115	54	23	100		1.1
182	13	7	84	2	86	57	28	200	35	115	54	23	100		1.1
183	12	7	74	2	76	50	25	200	35	115	54	23	100		1.1
184	13	7	90	2	92	61	30	200	35	120	54	24	100		1.1
185	12	7	76	2	78	52	26	200	35	120	53	24	100		1.1
186	13	7	88	2	90	60	30	200	35	120	53	23	100		1.1
187	13	7	88	2	90	60	30	200	35	120	53	23	100		1.1
188	11	7	68	2	70	46	23	200	35	120	53	23	100		1.1
189	13	7	78	2	80	53	26	200	35	120	52	23	100		1.1
190	11	7	70	2	72	48	24	200	35	120	52	23	100		1.1
191	13	7	86	2	88	58	29	200	35	120	52	23	100		1.1
192	13	7	78	4	41	27	13	200	40	125	52	24	100		1.1
193	13	7	90	4	47	31	15	200	40	125	51	24	100		1.1
194	13	7	86	4	45	30	15	200	40	125	51	24	100		1.1
195	12	7	82	4	43	28	14	200	40	125	51	24	100		1.1
196	13	7	86	4	45	30	15	200	40	125	51	24	100		1.1
197	13	7	80	4	42	28	14	200	40	125	50	24	100		1.1
198	13	7	90	4	47	31	15	200	40	125	50	23	100		1.1
199	13	7	80	4	42	28	14	200	40	125	50	23	100		1.1
200	13	7	86	4	44	29	14	200	45	130	50	24	100		1.1
201	13	7	90	4	46	30	15	200	45	130	49	24	100		1.1
202	13	7	86	4	44	29	14	200	45	130	49	24	100		1.1
203	13	7	84	4	43	28	14	200	45	130	49	24	100		1.1
204	13	7	90	4	46	30	15	200	45	130	49	24	100		1.1
205	13	7	90	4	46	30	15	200	45	130	48	24	100		1.1
206	13	7	86	4	44	29	14	200	45	130	48	24	100		1.1
207	13	7	90	4	46	30	15	200	45	130	48	24	100		1.1
208	13	7	84	2	85	56	28	200	45	135	48	24	100		1.1
209	12	7	76	2	77	51	25	200	45	135	47	24	100		1.1
210	13	7	88	2	89	59	29	200	50	135	47	24	100		1.1
211	13	7	86	2	87	58	29	200	50	135	47	24	100		1.1
212	13	7	84	2	85	56	28	200	50	135	47	24	100		1.1
213	13	7	90	2	91	60	30	200	50	135	46	24	100		1.1
214	12	7	80	2	81	54	27	200	50	135	46	24	100		1.1
215	13	7	90	2	91	60	30	200	50	135	46	24	100		1.1
216	13	7	90	2	91	60	30	200	50	140	46	25	100		1.1
217	13	7	84	2	85	56	28	200	50	140	45	25	100		1.1
218	13	7	82	2	83	55	27	200	50	140	45	25	100		1.1
219	13	7	90	2	91	60	30	200	50	140	45	24	100		1.1
220	13	7	84	2	85	56	28	200	50	140	45	24	100		1.1
221	13	7	80	2	81	54	27	200	50	140	44	24	100		1.1
222	13	7	84	2	85	56	28	200	50	140	44	24	100		1.1
223	13	7	80	2	81	54	27	200	50	140	44	24	100		1.1
224	13	7	86	4	44	29	14	200	50	145	44	25	100		1.1
225	13	7	80	4	41	27	13	200	55	145	43	25	100		1.1
226	13	7	82	4	42	28	14	200	55	145	43	25	100		1
227	13	7	86	4	44	29	14	200	55	145	43	25	100		1
228	13	7	86	4	44	29	14	200	55	145	43	25	100		1
229	13	7	82	4	42	28	14	200	55	145	42	25	100		1
230	13	7	80	4	41	27	13	200	55	145	42	24	100		1
231	13	7	86	4	44	29	14	200	55	145	42	24	100		1
232	13	7	86	4	44	29	14	200	60	150	42	25	100		1
233	13	7	86	4	44	29	14	200	60	150	41	25	100		1
234	13	7	78	4	40	26	13	200	60	150	41	25	100		1
235	13	7	80	4	41	27	13	200	60	150	41	25	100		1
236	13	7	78	4	40	26	13	200	60	150	41	25	100		1
237	13	7	82	4	42	28	14	200	60	150	40	25	100		1
238	13	7	86	4	44	29	14	200	60	150	40	25	100		1
239	13	7	86	4	44	29	14	200	60	150	40	25	100		1
240	13	7	80	2	81	54	27	200	60	150	40	25	100		1
241	13	7	88	2	89	59	29	200	60	150	39	24	100		1
242	13	7	90	2	91	60	30	200	60	150	39	24	100		1
243	13	7	84	2	85	56	28	200	60	150	39	24	100		1
244	13	7	90	2	91	60	30	200	60	150	39	24	100		1
245	13	7	84	2	85	56	28	200	60	150	38	24	100		1
246	13	7	80	2	81	54	27	200	60	150	38	24	100		1
247	13	7	78	2	79	52	26	200	60	150	38	24	100		1
248	13	7	80	2	81	54	27	200	60	150	38	24	100		1
249	13	7	80	2	81	54	27	200	60	150	37	24	100		1
250	13	7	86	2	86	57	28	200	60	150	37	24	100		1
251	13	7	80	2	80	53	26	200	60	150	37	24	100		1
252	13	7	90	2	90	60	30	200	60	150	37	24	100		1
253	13	7	84	2	84	56	28	200	60	150	36	24	100		1
254	13	7	86	2	86	57	28	200	60	150	36	24	100		1
255	13	7	88	2	88	58	29	200	65	150	36	24	100		1
256	13	7	86	4	43	28	14	200	65	150	36	24	100		1
257	13	7	82	4	41	27	13	200	65	150	35	24	100		1
258	13	7	82	4	41	27	13	200	65	150	35	23	100		1
259	13	7	82	4	41	27	13	200	65	150	35	23	100		1
260	13	7	86	4	43	28	14	200	65	150	35	23	100		1
261	13	7	78	4	39	26	13	200	65	150	34	23	100		1
262	13	7	82	4	41	27	13	200	65	150	34	23	100		1
263	13	7	78	4	39	26	13	200	65	150	34	23	100		1
264	13	7	78	4	39	26	13	200	65	150	34	23	100		1
265	13	7	82	4	41	27	13	200	65	150	33	23	100		1
266	13	7	90	4	45	30	15	200	65	150	33	23	100		1
267	13	7	82	4	41	27	13	200	65	150	33	23	100		1
268	13	7	90	4	45	30	15	200	65	150	33	23	100		1
269	13	7	82	4	41	27	13	200	65	150	32	23	100		1
270	13	7	86	4	43	28	14	200	70	150	32	23	100		1
271	13	7	84	4	42	28	14	200	70	150	32	23	100		1
272	13	7	90	2	90	60	30	200	70	150	32	23	100		1
273	13	7	84	2	84	56	28	200	70	150	31	23	100		1
274	13	7	84	2	84	56	28	200	70	150	31	23	100		1
275	13	7	90	2	90	60	30	200	70	150	31	23	100		1
276	13	7	86	2	86	57	28	200	70	150	31	22	100		0.9
277	13	7	90	2	90	60	30	200	70	150	30	22	100		0.9
278	13	7	86	2	86	57	28	200	70	150	30	22	100		0.9
279	13	7	86	2	86	57	28	200	70	150	30	22	100		0.9
280	13	7	84	2	84	56	28	200	70	150	30	22	100		0.9
10000	13	7	90	2	30	20	10	300	20	100	60	20	100		1.2
